timestamp,x,y,z
1523080528471370,-0.149902,-0.974609,-0.336914
1523080528517403,-0.169922,-0.96582,-0.34668
1523080528518414,-0.171875,-0.975098,-0.358398
1523080528541420,-0.175293,-0.930664,-0.348145
1523080528556430,-0.146484,-0.957031,-0.297363
1523080528570454,-0.291016,-0.95166,-0.433594
1523080528606479,-0.350586,-1.02246,-0.316895
1523080528651512,-0.43457,-0.997559,-0.408691
1523080528662505,-0.20166,-0.829102,-0.513672
1523080528664521,-0.161133,-1.05762,0.0244141
1523080528675527,-0.428223,-0.894531,-0.483398
1523080528691536,-0.320801,-1.07568,-0.246094
1523080528712598,-0.355469,-0.993164,-0.248535
1523080528736625,-0.396484,-0.979492,-0.255859
1523080528763645,-0.415039,-0.943359,-0.241699
1523080528775663,-0.438477,-0.897949,-0.248047
1523080528802675,-0.400879,-0.881348,-0.248535
1523080528808676,-0.400391,-0.875488,-0.216797
1523080528831687,-0.402832,-0.849609,-0.23877
1523080528854713,-0.413574,-0.851563,-0.201172
1523080528868719,-0.445801,-0.869141,-0.215332
1523080528891758,-0.443359,-0.862793,-0.188477
1523080528922757,-0.458496,-0.881836,-0.165039
1523080528928753,-0.496094,-0.897461,-0.240723
1523080528951781,-0.494141,-0.892578,-0.10791
1523080528974798,-0.50293,-0.878418,-0.111328
1523080528988808,-0.502441,-0.853027,-0.0795898
1523080529011816,-0.486816,-0.84668,-0.0639648
1523080529034837,-0.486816,-0.844727,-0.0522461
1523080529056853,-0.448242,-0.79834,-0.065918
1523080529071863,-0.458496,-0.756348,-0.0761719
1523080529094872,-0.446777,-0.726074,-0.0830078
1523080529108890,-0.484375,-0.715332,-0.0913086
1523080529130896,-0.518555,-0.744629,-0.135742
1523080529153921,-0.520996,-0.757324,-0.139648
1523080529168938,-0.618164,-0.818848,-0.159668
1523080529198953,-0.618652,-0.869141,-0.152344
1523080529213964,-0.585449,-0.919434,-0.124512
1523080529228975,-0.645996,-0.901367,-0.102539
1523080529250990,-0.616211,-0.820313,-0.112305
1523080529273996,-0.656738,-0.822266,-0.0864258
1523080529289079,-0.690918,-0.692871,-0.0839844
1523080529311024,-0.694824,-0.627441,-0.0839844
1523080529334054,-0.714844,-0.638672,-0.178711
1523080529349060,-0.790039,-0.528809,-0.280762
1523080529371076,-0.873535,-0.576172,-0.349609
1523080529394082,-0.778809,-0.697266,-0.225098
1523080529409103,-0.675293,-0.945801,-0.0849609
1523080529431134,-0.47998,-1.06348,0.133301
1523080529454125,-0.361328,-1.05664,0.20752
1523080529478141,-0.545898,-1.12842,-0.0112305
1523080529491171,-0.359375,-1.11279,-0.19043
1523080529514169,-0.0859375,-0.904785,-0.236816
1523080529530179,0.109375,-0.791504,-0.204102
1523080529551194,0.409668,-0.544922,-0.263184
1523080529574230,0.987793,-0.91748,-0.129883
1523080529590228,1.0542,-0.519531,-0.130371
1523080529612237,1.23535,-0.23291,-0.0878906
1523080529634253,1.29736,-0.247559,-0.175781
1523080529650264,1.17334,-0.592285,-0.398926
1523080529671278,0.970215,-0.829102,-0.387695
1523080529694308,0.733887,-0.850586,-0.442383
1523080529718313,0.620117,-0.703613,-0.644043
1523080529731325,0.635254,-0.69873,-0.845703
1523080529753339,0.655273,-1.22754,-0.702637
1523080529770363,0.512695,-1.33496,-0.534668
1523080529791378,0.388672,-0.768555,-1.04688
1523080529813393,0.0581055,0.48877,0.160156
1523080529830392,-0.0141602,-1.56738,-0.198242
1523080529851417,0.881836,-1.13477,0.776367
1523080529873433,0.218262,-1.22998,-0.280273
1523080529890448,0.971191,0.109375,-0.0415039
1523080529912450,0.306152,-1.7002,-0.319336
1523080529933475,0.387207,-1.44678,-0.313477
1523080529950487,0.0639648,-0.744141,-0.168457
1523080529971492,0.0224609,-0.844238,-0.162598
1523080529995520,0.0419922,-0.986816,-0.268555
1523080530010529,-0.0458984,-1.02002,-0.418457
1523080530034552,-0.0922852,-0.996582,-0.467773
1523080530053560,-0.195801,-1.146,-0.383789
1523080530071563,-0.0800781,-1.13916,-0.246094
1523080530091581,0,-1.1748,-0.556641
1523080530113594,-0.0776367,-1.3374,-0.687988
1523080530130605,-0.059082,-1.05957,-0.878418
1523080530151640,-0.157715,-1.19824,-0.901855
1523080530173636,-0.446289,-1.20654,-1.0625
1523080530191649,-0.57666,-0.876953,-1.14111
1523080530211667,-0.594238,-1.11816,-0.944336
1523080530233679,-0.527832,-0.89502,-0.953125
1523080530250690,-0.474121,-0.779785,-0.933105
1523080530271719,-0.48877,-0.523926,-1.00391
1523080530293721,-0.42334,-0.450195,-0.833008
1523080530311747,-0.350098,-0.523926,-0.753418
1523080530331780,-0.277344,-0.482422,-0.731445
1523080530353774,-0.22998,-0.287598,-0.866699
1523080530377780,-0.269043,0.00537109,-0.974121
1523080530392802,-0.204102,-0.00292969,-0.917969
1523080530413810,-0.0932617,-0.29541,-0.835938
1523080530429818,-0.015625,-0.355469,-0.799805
1523080530452834,-0.0185547,-0.277344,-0.772949
1523080530473863,0.03125,-0.320801,-0.75293
1523080530489888,0.117676,-0.497559,-0.67627
1523080530518894,0.074707,-0.663086,-0.603516
1523080530533906,0.106934,-0.838867,-0.518555
1523080530549905,0.129395,-1.02686,-0.519531
1523080530572932,0.232422,-1.35596,-0.290527
1523080530593934,0.11377,-1.41113,-0.14502
1523080530609945,0.350098,-1.74756,-0.0839844
1523080530632972,0.485352,-2.23291,0.194824
1523080530653986,0.363281,-2.32861,0.159668
1523080530669988,0.436523,-1.89453,0.239258
1523080530693024,0.394531,-1.32666,0.248535
1523080530714057,0.35498,-1.17871,0.196289
1523080530730031,0.229492,-1.22266,-0.00830078
1523080530753048,0.172363,-1.32617,-0.128418
1523080530774082,0.0766602,-1.26367,-0.238281
1523080530790076,-0.0917969,-1.07617,-0.377441
1523080530813105,-0.243164,-0.708008,-0.45752
1523080530834118,-0.402832,-0.375488,-0.522949
1523080530849129,-0.443848,-0.411133,-0.588379
1523080530872142,-0.368652,-0.464355,-0.512207
1523080530894148,-0.445313,-0.267578,-0.565918
1523080530909168,-0.600586,-0.0766602,-0.736328
1523080530932184,-0.556641,-0.0444336,-0.732422
1523080530954189,-0.601074,0.00927734,-0.598633
1523080530969201,-0.704102,-0.533203,-0.487793
1523080530999232,-0.995117,-0.521973,-0.568848
1523080531022254,-1.27441,-0.228027,-0.515137
1523080531029253,-1.47021,-0.269531,-0.44873
1523080531052273,-1.55225,-0.526855,-0.419922
1523080531074288,-1.61475,-0.938477,-0.545898
1523080531089299,-1.49365,-1.06982,-0.555176
1523080531112330,-1.21924,-1.10645,-0.549805
1523080531142337,-1.09668,-1.55371,-0.616699
1523080531149338,-1.07178,-1.72998,-0.424805
1523080531172344,-0.858398,-1.33301,-0.356934
1523080531194370,-1.03906,-1.32227,-0.681641
1523080531209387,-0.780762,-1.24707,-0.930664
1523080531232411,-0.424316,-0.601074,-0.866699
1523080531254406,-0.219238,-0.145508,-0.869629
1523080531269424,0.178223,0.118652,-0.672363
1523080531291439,0.115234,0.050293,-0.84082
1523080531314455,0.132324,-0.0805664,-0.921875
1523080531329466,0.122559,0.185059,-0.759766
1523080531352472,0.137207,0.278809,-0.569336
1523080531374502,0.161133,0.00439453,-0.266602
1523080531390509,0.117676,-0.474609,-0.194336
1523080531412525,0.0947266,-1.13623,0.119141
1523080531434547,0.0322266,-1.66699,0.1875
1523080531450556,-0.125,-2.16797,0.34668
1523080531471558,0.0683594,-2.6377,0.350586
1523080531494583,0.296875,-2.5376,0.319336
1523080531510584,-0.17041,-2.12988,-0.0976563
