timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,
1.52308E+15,-1,-2,-1,-9,-3,-7,-3,1,-25
1.52308E+15,0,-1,-3,-19,23,3,-1,1,3
1.52308E+15,-2,-2,4,22,-3,9,3,2,33
1.52308E+15,1,1,3,0,-2,11,26,8,48
1.52308E+15,2,1,-6,-26,-5,11,0,2,-21
1.52308E+15,-3,0,2,14,-8,3,-4,-2,2
1.52308E+15,-1,1,7,0,13,-17,-10,-5,-12
1.52308E+15,0,1,-3,-11,-18,-3,-6,0,-40
1.52308E+15,-1,0,2,12,12,3,1,0,29
1.52308E+15,-1,-2,0,9,-24,-3,6,0,-15
1.52308E+15,-1,0,-3,-8,9,3,-1,-3,-4
1.52308E+15,-2,0,-3,-2,20,-4,-7,-3,-1
1.52308E+15,-2,-1,3,15,-10,-5,-3,-2,-5
1.52308E+15,0,-1,0,-1,0,2,-3,-3,-6
1.52308E+15,0,-2,-6,-15,-6,-1,5,2,-23
1.52308E+15,-2,-1,-1,5,-1,-2,-6,-4,-12
1.52308E+15,-1,-3,-3,7,3,7,5,2,17
1.52308E+15,0,2,-3,-14,-18,3,-1,1,-30
1.52308E+15,1,1,-2,4,17,-1,5,2,27
1.52308E+15,-2,-1,3,7,-26,-16,-7,-1,-43
1.52308E+15,-2,-1,21,25,-18,-13,3,-1,14
1.52308E+15,0,1,3,-6,24,0,0,-1,21
1.52308E+15,-1,-2,-2,-9,-12,-3,-1,-3,-33
1.52308E+15,-2,-3,4,26,-2,-5,-3,-1,14
1.52308E+15,-1,-2,-7,-7,1,-3,-3,1,-21
1.52308E+15,-2,0,-7,-11,-2,-4,-4,-1,-31
1.52308E+15,-1,-2,5,7,-15,-3,-3,0,-12
1.52308E+15,-2,1,1,13,41,4,4,-1,61
1.52308E+15,1,0,-5,-16,-5,0,0,1,-24
1.52308E+15,-2,-2,-1,6,-7,-5,-2,-1,-14
1.52308E+15,-2,0,7,18,-10,6,-3,-1,15
1.52308E+15,1,0,-5,-28,-22,1,10,1,-42
1.52308E+15,0,0,-4,3,-6,-6,-2,-4,-19
1.52308E+15,0,-2,0,-5,-51,21,0,0,-37
1.52308E+15,3,0,4,4,61,-25,-5,-2,40
1.52308E+15,1,0,-6,-8,-1,4,0,-1,-11
1.52308E+15,-3,-1,-2,1,-8,-2,-4,-3,-22
1.52308E+15,-2,-1,-2,2,-12,-4,-1,0,-20
1.52308E+15,-2,-1,-9,-18,-23,9,-3,-3,-50
1.52308E+15,0,1,12,0,0,-6,-7,-1,-1
1.52308E+15,-1,-1,-22,5,21,6,-1,1,8
1.52308E+15,4,-2,13,1,0,6,19,6,47
1.52308E+15,-2,1,9,3,14,0,-5,-4,16
1.52308E+15,-3,-3,-9,1,-3,-6,2,-2,-23
1.52308E+15,-1,2,7,-6,-8,-7,-5,-2,-20
1.52308E+15,-3,-3,-9,3,2,-4,-7,-4,-25
1.52308E+15,1,-2,-6,10,26,7,9,0,45
1.52308E+15,2,2,4,-9,-14,-8,-2,2,-23
1.52308E+15,-2,1,4,-12,-23,27,1,0,-4
1.52308E+15,-1,0,4,5,11,-33,-7,-2,-23
1.52308E+15,-1,-3,-3,6,-3,6,0,-1,1
1.52308E+15,-1,-3,-15,-1,-3,4,-5,-5,-29
1.52308E+15,-3,-7,-19,-11,-3,-34,-7,-4,-88
1.52308E+15,2,5,-8,-5,0,43,8,1,46
1.52308E+15,5,11,40,-7,4,-10,5,6,54
1.52308E+15,2,2,25,28,-15,-10,-3,0,29
1.52308E+15,-5,-9,-3,0,74,-6,1,-3,49
1.52308E+15,-1,-2,-15,11,4,-26,-10,-1,-40
1.52308E+15,-4,-5,-34,-14,-32,14,3,-3,-75
1.52308E+15,0,6,-2,-11,7,3,-2,0,1
1.52308E+15,5,8,56,-1,-16,14,0,0,66
1.52308E+15,-2,-4,7,-10,0,-6,-5,-3,-23
1.52308E+15,-3,-8,-24,11,12,-1,0,0,-13
1.52308E+15,-1,-4,-20,-1,-4,6,2,1,-21
1.52308E+15,1,-3,-3,11,0,7,3,2,18
1.52308E+15,2,11,61,-13,8,1,0,-1,69
1.52308E+15,-5,-3,9,-7,1,-2,-3,-3,-13
1.52308E+15,0,-2,5,4,-18,-14,-1,0,-26
1.52308E+15,-1,-3,-34,3,6,14,3,2,-10
1.52308E+15,-4,-7,-13,9,24,-10,-3,-4,-8
1.52308E+15,-1,4,-29,-11,-37,0,-5,-2,-81
1.52308E+15,-2,3,23,-16,3,0,-6,-5,0
1.52308E+15,2,-4,-3,0,11,2,4,6,18
1.52308E+15,2,-2,-22,2,0,13,5,0,-2
1.52308E+15,-4,-6,4,-3,-2,-7,-5,-2,-25
1.52308E+15,-2,-2,9,8,7,3,1,1,25
1.52308E+15,0,2,-2,-16,-39,-8,-3,-2,-68
1.52308E+15,2,7,10,-16,-23,-8,-3,0,-31
1.52308E+15,0,-5,-2,13,55,2,0,-1,62
1.52308E+15,-2,-7,-20,1,-17,14,3,0,-28
1.52308E+15,2,-2,-38,-2,-19,-3,4,-1,-59
1.52308E+15,-21,-11,-8,-4,11,-16,-5,-2,-56
1.52308E+15,4,-1,-5,-5,-8,-7,1,1,-20
1.52308E+15,-2,6,13,-5,4,2,-3,-2,13
1.52308E+15,-3,9,21,3,0,4,0,-6,28
1.52308E+15,3,0,-17,-3,-42,11,-1,-5,-54
1.52308E+15,1,-1,-3,8,3,-20,-3,0,-15
1.52308E+15,-5,-6,25,5,17,2,-2,-1,35
1.52308E+15,0,-10,-13,2,-9,0,1,1,-28
