timestamp,x,y,z,w
1523080528471370,0.726746,0.360229,-0.347778,-0.470276
1523080528517403,0.729065,0.354248,-0.348267,-0.470825
1523080528518414,0.731689,0.348083,-0.348755,-0.470947
1523080528541420,0.734314,0.341919,-0.349365,-0.471008
1523080528556430,0.737061,0.336304,-0.349548,-0.47052
1523080528570454,0.740479,0.3302,-0.351868,-0.467834
1523080528606479,0.743469,0.322754,-0.353943,-0.466675
1523080528651512,0.746948,0.314636,-0.356628,-0.4646
1523080528662505,0.750854,0.308655,-0.358948,-0.460571
1523080528664521,0.751953,0.302917,-0.362915,-0.459473
1523080528675527,0.755615,0.296631,-0.365845,-0.4552
1523080528691536,0.756958,0.290649,-0.369934,-0.453552
1523080528712598,0.756775,0.284119,-0.375977,-0.452942
1523080528736625,0.755493,0.277649,-0.382813,-0.453369
1523080528763645,0.753418,0.271851,-0.39032,-0.453979
1523080528775663,0.750793,0.267212,-0.39801,-0.454407
1523080528802675,0.748108,0.263855,-0.404968,-0.454712
1523080528808676,0.744873,0.261108,-0.411621,-0.455566
1523080528831687,0.741272,0.25885,-0.418152,-0.456787
1523080528854713,0.737854,0.256958,-0.424438,-0.457581
1523080528868719,0.734924,0.255066,-0.430481,-0.457703
1523080528891758,0.732422,0.253113,-0.436157,-0.457397
1523080528922757,0.729919,0.250671,-0.442017,-0.457153
1523080528928753,0.727844,0.248108,-0.448059,-0.455994
1523080528951781,0.724304,0.244934,-0.45575,-0.455688
1523080528974798,0.720825,0.241516,-0.463989,-0.454712
1523080528988808,0.718384,0.238098,-0.472473,-0.45166
1523080529011816,0.716553,0.234253,-0.480164,-0.448486
1523080529034837,0.714539,0.229309,-0.486938,-0.44696
1523080529056853,0.71228,0.224243,-0.492493,-0.447021
1523080529071863,0.709961,0.219727,-0.49707,-0.447937
1523080529094872,0.707642,0.216064,-0.500244,-0.449768
1523080529108890,0.70575,0.213745,-0.50238,-0.451538
1523080529130896,0.704224,0.213684,-0.504089,-0.451965
1523080529153921,0.702209,0.214844,-0.505676,-0.452759
1523080529168938,0.699707,0.217041,-0.508179,-0.45282
1523080529198953,0.697815,0.220215,-0.510986,-0.451111
1523080529213964,0.696533,0.222046,-0.513733,-0.448975
1523080529228975,0.695435,0.221436,-0.518066,-0.445984
1523080529250990,0.695251,0.22052,-0.523254,-0.440674
1523080529273996,0.696472,0.219299,-0.528992,-0.432434
1523080529289079,0.699707,0.216309,-0.534546,-0.421753
1523080529311024,0.704712,0.214783,-0.538757,-0.408691
1523080529334054,0.710632,0.213989,-0.54126,-0.395264
1523080529349060,0.717224,0.213745,-0.543335,-0.380371
1523080529371076,0.724121,0.217957,-0.545654,-0.361084
1523080529394082,0.728394,0.228821,-0.549072,-0.339966
1523080529409103,0.730103,0.244934,-0.553894,-0.316467
1523080529431134,0.725891,0.265259,-0.559814,-0.298889
1523080529454125,0.71637,0.292786,-0.561768,-0.292358
1523080529478141,0.696533,0.327515,-0.562439,-0.302002
1523080529491171,0.663513,0.367004,-0.566467,-0.322632
1523080529514169,0.620728,0.40863,-0.571777,-0.347534
1523080529530179,0.569397,0.451843,-0.575928,-0.374084
1523080529551194,0.511658,0.498718,-0.573242,-0.401062
1523080529574230,0.450012,0.538818,-0.567383,-0.43042
1523080529590228,0.395203,0.567261,-0.557861,-0.459106
1523080529612237,0.350586,0.594543,-0.536743,-0.485291
1523080529634253,0.32196,0.619202,-0.501526,-0.511292
1523080529650264,0.307312,0.636658,-0.458191,-0.538757
1523080529671278,0.30481,0.641174,-0.416382,-0.567993
1523080529694308,0.311829,0.633362,-0.375244,-0.600708
1523080529718313,0.323364,0.622192,-0.330261,-0.631836
1523080529731325,0.347961,0.612915,-0.276917,-0.653137
1523080529753339,0.3797,0.600891,-0.227173,-0.66571
1523080529770363,0.404724,0.581604,-0.188049,-0.680115
1523080529791378,0.420349,0.561035,-0.154053,-0.696289
1523080529813393,0.440674,0.54071,-0.126404,-0.705322
1523080529830392,0.480774,0.522339,-0.0856323,-0.699036
1523080529851417,0.52063,0.492615,-0.0641479,-0.694336
1523080529873433,0.542358,0.465332,-0.0318604,-0.698792
1523080529890448,0.571472,0.446228,-0.00921631,-0.688599
1523080529912450,0.601563,0.425598,0.00787354,-0.675964
1523080529933475,0.623901,0.405151,0.0142212,-0.668091
1523080529950487,0.645081,0.383606,0.020874,-0.660461
1523080529971492,0.669312,0.358704,0.0296631,-0.649963
1523080529995520,0.695984,0.328857,0.0394287,-0.637085
1523080530010529,0.722778,0.296021,0.0493774,-0.622498
1523080530034552,0.748779,0.262817,0.059021,-0.605652
1523080530053560,0.771912,0.232361,0.0649414,-0.588135
1523080530071563,0.795776,0.20459,0.067688,-0.565918
1523080530091581,0.818787,0.177979,0.0678101,-0.541565
1523080530113594,0.842224,0.154602,0.0595093,-0.512939
1523080530130605,0.864441,0.131897,0.0422974,-0.483215
1523080530151640,0.880127,0.111694,0.0197754,-0.460938
1523080530173636,0.890747,0.0914917,-0.00939941,-0.445068
1523080530191649,0.898743,0.071228,-0.048584,-0.429932
1523080530211667,0.902893,0.0525513,-0.0922852,-0.416565
1523080530233679,0.903748,0.0361328,-0.135803,-0.404297
1523080530250690,0.901184,0.0218506,-0.178711,-0.394226
1523080530271719,0.898438,0.00952148,-0.220825,-0.379456
1523080530293721,0.895203,0.00128174,-0.262695,-0.359985
1523080530311747,0.889038,-0.00317383,-0.300293,-0.34552
1523080530331780,0.879517,-0.0055542,-0.33313,-0.339661
1523080530353774,0.86908,-0.00512695,-0.361755,-0.337402
1523080530377780,0.860413,0.00335693,-0.38855,-0.329773
1523080530392802,0.854431,0.0251465,-0.413452,-0.31366
1523080530413810,0.847717,0.0575562,-0.434387,-0.29895
1523080530429818,0.839294,0.0948486,-0.450439,-0.289307
1523080530452834,0.829224,0.136902,-0.462708,-0.282104
1523080530473863,0.817322,0.18512,-0.471558,-0.274475
1523080530489888,0.801941,0.237122,-0.477356,-0.269775
1523080530518894,0.783142,0.289185,-0.480042,-0.26947
1523080530533906,0.761292,0.341431,-0.479553,-0.271667
1523080530549905,0.737427,0.393311,-0.475464,-0.274597
1523080530572932,0.709839,0.438232,-0.47345,-0.282654
1523080530593934,0.682739,0.471985,-0.474792,-0.292603
1523080530609945,0.657471,0.499268,-0.476379,-0.30249
1523080530632972,0.640869,0.510376,-0.482056,-0.310364
1523080530653986,0.629822,0.502258,-0.497192,-0.322266
1523080530669988,0.61908,0.48114,-0.518555,-0.341003
1523080530693024,0.611877,0.45813,-0.535461,-0.359192
1523080530714057,0.611694,0.439392,-0.542542,-0.372009
1523080530730031,0.616699,0.426941,-0.54071,-0.380859
1523080530753048,0.625244,0.412903,-0.536255,-0.388611
1523080530774082,0.63446,0.386719,-0.534851,-0.402222
1523080530790076,0.641052,0.353149,-0.534058,-0.423279
1523080530813105,0.648254,0.318665,-0.530518,-0.443604
1523080530834118,0.658569,0.289124,-0.521912,-0.458618
1523080530849129,0.67218,0.268433,-0.509521,-0.465271
1523080530872142,0.6875,0.251282,-0.495789,-0.467346
1523080530894148,0.703918,0.233337,-0.480774,-0.467896
1523080530909168,0.723389,0.219482,-0.462341,-0.463379
1523080530932184,0.747253,0.212952,-0.44281,-0.447449
1523080530954189,0.772827,0.206116,-0.424622,-0.424194
1523080530969201,0.792969,0.195679,-0.40741,-0.408508
1523080530999232,0.804932,0.180786,-0.391052,-0.40802
1523080531022254,0.81427,0.169312,-0.386536,-0.39856
1523080531029253,0.820862,0.172058,-0.391174,-0.378845
1523080531052273,0.826172,0.191101,-0.393005,-0.35553
1523080531074288,0.828064,0.211182,-0.399597,-0.331726
1523080531089299,0.82605,0.2276,-0.412048,-0.309937
1523080531112330,0.822876,0.242188,-0.426758,-0.286499
1523080531142337,0.81543,0.251343,-0.444641,-0.272339
1523080531149338,0.801941,0.255371,-0.467712,-0.269958
1523080531172344,0.786804,0.256653,-0.49176,-0.270569
1523080531194370,0.769165,0.257507,-0.514954,-0.277222
1523080531209387,0.742981,0.259155,-0.546509,-0.28656
1523080531232411,0.708557,0.260864,-0.583801,-0.298279
1523080531254406,0.669495,0.271423,-0.619568,-0.306946
