timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523080528665522,-1,-2,-1,-9,-3,-7,-3,1
1523080528665522,0,-1,-3,-19,23,3,-1,1
1523080528665522,-2,-2,4,22,-3,9,3,2
1523080528665522,1,1,3,0,-2,11,26,8
1523080528667510,2,1,-6,-26,-5,11,0,2
1523080528667510,-3,0,2,14,-8,3,-4,-2
1523080528668510,-1,1,7,0,13,-17,-10,-5
1523080528668510,0,1,-3,-11,-18,-3,-6,0
1523080528677518,-1,0,2,12,12,3,1,0
1523080528677518,-1,-2,0,9,-24,-3,6,0
1523080528681520,-1,0,-3,-8,9,3,-1,-3
1523080528681520,-2,0,-3,-2,20,-4,-7,-3
1523080528696597,-2,-1,3,15,-10,-5,-3,-2
1523080528696597,0,-1,0,-1,0,2,-3,-3
1523080528705598,0,-2,-6,-15,-6,-1,5,2
1523080528705598,-2,-1,-1,5,-1,-2,-6,-4
1523080528712598,-1,-3,-3,7,3,7,5,2
1523080528712598,0,2,-3,-14,-18,3,-1,1
1523080528735624,1,1,-2,4,17,-1,5,2
1523080528735624,-2,-1,3,7,-26,-16,-7,-1
1523080528773651,-2,-1,21,25,-18,-13,3,-1
1523080528773651,0,1,3,-6,24,0,0,-1
1523080528774643,-1,-2,-2,-9,-12,-3,-1,-3
1523080528774643,-2,-3,4,26,-2,-5,-3,-1
1523080528776650,-1,-2,-7,-7,1,-3,-3,1
1523080528776650,-2,0,-7,-11,-2,-4,-4,-1
1523080528778645,-1,-2,5,7,-15,-3,-3,0
1523080528778645,-2,1,1,13,41,4,4,-1
1523080528786661,1,0,-5,-16,-5,0,0,1
1523080528786661,-2,-2,-1,6,-7,-5,-2,-1
1523080528803673,-2,0,7,18,-10,6,-3,-1
1523080528803673,1,0,-5,-28,-22,1,10,1
1523080528804663,0,0,-4,3,-6,-6,-2,-4
1523080528804663,0,-2,0,-5,-51,21,0,0
1523080528816682,3,0,4,4,61,-25,-5,-2
1523080528816682,1,0,-6,-8,-1,4,0,-1
1523080528823697,-3,-1,-2,1,-8,-2,-4,-3
1523080528823697,-2,-1,-2,2,-12,-4,-1,0
1523080528832683,-2,-1,-9,-18,-23,9,-3,-3
1523080528832683,0,1,12,0,0,-6,-7,-1
1523080528846695,-1,-1,-22,5,21,6,-1,1
1523080528846695,4,-2,13,1,0,6,19,6
1523080528855707,-2,1,9,3,14,0,-5,-4
1523080528855707,-3,-3,-9,1,-3,-6,2,-2
1523080528861707,-1,2,7,-6,-8,-7,-5,-2
1523080528861707,-3,-3,-9,3,2,-4,-7,-4
1523080528875724,1,-2,-6,10,26,7,9,0
1523080528875724,2,2,4,-9,-14,-8,-2,2
1523080528883729,-2,1,4,-12,-23,27,1,0
1523080528883729,-1,0,4,5,11,-33,-7,-2
1523080528892728,-1,-3,-3,6,-3,6,0,-1
1523080528892728,-1,-3,-15,-1,-3,4,-5,-5
1523080528906736,-3,-7,-19,-11,-3,-34,-7,-4
1523080528906736,2,5,-8,-5,0,43,8,1
1523080528923748,5,11,40,-7,4,-10,5,6
1523080528923748,2,2,25,28,-15,-10,-3,0
1523080528923748,-5,-9,-3,0,74,-6,1,-3
1523080528923748,-1,-2,-15,11,4,-26,-10,-1
1523080528935766,-4,-5,-34,-14,-32,14,3,-3
1523080528935766,0,6,-2,-11,7,3,-2,0
1523080528943782,5,8,56,-1,-16,14,0,0
1523080528943782,-2,-4,7,-10,0,-6,-5,-3
1523080528952768,-3,-8,-24,11,12,-1,0,0
1523080528952768,-1,-4,-20,-1,-4,6,2,1
1523080528965777,1,-3,-3,11,0,7,3,2
1523080528965777,2,11,61,-13,8,1,0,-1
1523080528974798,-5,-3,9,-7,1,-2,-3,-3
1523080528974798,0,-2,5,4,-18,-14,-1,0
1523080528980803,-1,-3,-34,3,6,14,3,2
1523080528980803,-4,-7,-13,9,24,-10,-3,-4
1523080528995809,-1,4,-29,-11,-37,0,-5,-2
1523080528995809,-2,3,23,-16,3,0,-6,-5
1523080529003868,2,-4,-3,0,11,2,4,6
1523080529003868,2,-2,-22,2,0,13,5,0
1523080529012813,-4,-6,4,-3,-2,-7,-5,-2
1523080529012813,-2,-2,9,8,7,3,1,1
1523080529025830,0,2,-2,-16,-39,-8,-3,-2
1523080529025830,2,7,10,-16,-23,-8,-3,0
1523080529034837,0,-5,-2,13,55,2,0,-1
1523080529034837,-2,-7,-20,1,-17,14,3,0
1523080529040841,2,-2,-38,-2,-19,-3,4,-1
1523080529040841,-21,-11,-8,-4,11,-16,-5,-2
1523080529057859,4,-1,-5,-5,-8,-7,1,1
1523080529057859,-2,6,13,-5,4,2,-3,-2
1523080529063848,-3,9,21,3,0,4,0,-6
1523080529063848,3,0,-17,-3,-42,11,-1,-5
1523080529078869,1,-1,-3,8,3,-20,-3,0
1523080529078869,-5,-6,25,5,17,2,-2,-1
1523080529085873,0,-10,-13,2,-9,0,1,1
1523080529085873,3,4,5,0,2,0,0,-1
1523080529094872,-2,0,1,-6,-3,8,3,0
1523080529094872,1,12,7,-2,-4,-6,-1,1
1523080529100884,-7,-4,22,5,2,-4,-4,-2
1523080529100884,-4,-19,-71,-14,9,3,-1,-3
1523080529115894,10,15,41,4,-42,6,7,3
1523080529115894,2,13,9,4,61,-3,-3,-1
1523080529123905,2,-3,-35,-9,-33,-15,-5,-1
1523080529123905,0,3,40,48,109,10,-2,-3
1523080529138911,-8,-16,-44,-21,-50,1,-2,-2
1523080529138911,3,-1,30,18,1,-2,5,1
1523080529145916,7,25,54,-24,-46,9,9,7
1523080529145916,-13,-25,-47,-20,8,-11,-16,-12
1523080529154912,10,6,2,6,0,-1,-7,-2
1523080529154912,-24,-6,-7,-1,-12,18,22,3
1523080529160916,-6,-15,-2,-4,20,-9,-3,-11
1523080529160916,2,6,-14,23,-13,-2,2,5
1523080529175937,2,8,14,-4,7,-1,0,-1
1523080529175937,5,-9,20,-10,-12,-14,-9,0
1523080529183943,6,0,-30,-24,12,0,0,3
1523080529183943,-3,1,15,-4,-25,22,12,4
1523080529199944,-14,-15,-59,-8,21,-12,-10,-12
1523080529199944,14,16,8,-12,-5,-10,-5,2
1523080529205958,-3,2,-33,17,4,-6,0,-1
1523080529205958,12,8,33,20,23,-5,17,11
1523080529214954,-9,-12,-9,-15,-29,-12,-12,-2
1523080529214954,2,-7,-45,-19,-18,-8,2,-6
1523080529220969,1,1,-6,-14,34,27,-5,-5
1523080529220969,3,12,12,-1,-42,-7,0,-1
1523080529235980,-4,3,14,4,3,-7,-2,0
1523080529235980,-8,-21,-55,-22,5,-15,-10,-6
1523080529243979,4,6,35,60,19,7,-5,2
1523080529243979,8,4,3,-24,-32,-25,-10,-1
1523080529258996,-20,-4,4,9,30,7,24,0
1523080529258996,4,-5,1,-16,-35,53,-11,-2
1523080529266007,-1,0,1,-2,-10,-5,9,5
1523080529266007,-4,-4,-17,6,30,5,10,0
1523080529274997,7,5,19,-1,-7,-26,-19,-5
1523080529274997,-1,-1,-7,7,25,-14,-9,-3
1523080529281015,9,-4,21,2,-7,-9,-1,-2
1523080529281015,-25,-8,-11,-1,-11,19,4,-7
1523080529296023,6,2,3,-4,-9,0,1,5
1523080529296023,4,-2,-8,8,3,-1,3,-4
1523080529304031,-28,-9,-13,0,9,-7,-9,-9
1523080529304031,5,-1,0,4,-17,-12,-7,0
1523080529319061,9,10,24,26,10,20,9,5
1523080529319061,2,-4,5,-20,-16,-16,-11,-6
1523080529326048,-6,-5,-11,-2,9,-63,-14,-4
